,decade,title,author,act,normalizedGenre,numOfSpeakersMale,numOfSpeakersFemale,numOfActs,meanNEUTRAL,meanPOSITIVE,meanNEGATIVE,meanSKIP,meanSPEECH,countNEUTRAL,countPOSITIVE,countNEGATIVE,countSKIP,countSPEECH,avg_text_len,totalCOUNT,percentNEUTRAL,percentPOSITIVE,percentNEGATIVE,percentSKIP,percentSPEECH
0,1740,Гамлет,Сумароков,1,Tragedy,6,4,5,0.711769092414114,,0.769999969005585,0.623334953561425,,18,0,10,16,0,247.795454545455,44,40.9090909090909,0,22.7272727272727,36.3636363636364,0
1,1740,Гамлет,Сумароков,2,Tragedy,6,4,5,0.786188727617264,0.390825241804123,0.581052184104919,0.630168254176776,,10,1,4,12,0,368.740740740741,27,37.037037037037,3.7037037037037,14.8148148148148,44.4444444444444,0
2,1740,Гамлет,Сумароков,3,Tragedy,6,4,5,0.701543124185668,,0.646273681095668,0.656181578834852,,18,0,14,24,0,217.303571428571,56,32.1428571428572,0,25,42.8571428571429,0
3,1740,Гамлет,Сумароков,4,Tragedy,6,4,5,0.868297606706619,,0.716945052146912,0.666986801226934,,4,0,6,15,0,321.88,25,16,0,24,60,0
4,1740,Гамлет,Сумароков,5,Tragedy,6,4,5,0.686318073421717,0.534067749977112,0.800970224233774,0.641100057297283,,8,1,13,18,0,318.575,40,20,2.5,32.5,45,0
5,1740,Хорев,Сумароков,1,Tragedy,10,2,5,0.603915955339159,0.736330151557922,0.752144400562559,0.621298736647556,,7,1,7,19,0,304,34,20.5882352941176,2.94117647058824,20.5882352941176,55.8823529411765,0
6,1740,Хорев,Сумароков,2,Tragedy,10,2,5,0.714777195139935,,0.683340420325597,0.560513461177999,,19,0,6,11,0,266.055555555556,36,52.7777777777778,0,16.6666666666667,30.5555555555556,0
7,1740,Хорев,Сумароков,3,Tragedy,10,2,5,0.795491955497048,,0.72492309473455,0.675778431551797,,11,0,16,14,0,177.219512195122,41,26.8292682926829,0,39.0243902439024,34.1463414634146,0
8,1740,Хорев,Сумароков,4,Tragedy,10,2,5,0.757392877712846,,0.657939351522006,0.56961870544097,,16,0,13,17,0,253.717391304348,46,34.7826086956522,0,28.2608695652174,36.9565217391304,0
9,1740,Хорев,Сумароков,5,Tragedy,10,2,5,0.812717173248529,0.861485024293264,0.721335418084089,0.611266020271513,,8,3,17,18,0,183.913043478261,46,17.3913043478261,6.52173913043478,36.9565217391304,39.1304347826087,0
10,1750,Артистона,Сумароков,1,Tragedy,7,4,5,0.73341104388237,0.455723822116852,0.778848722577095,0.5929092749169,,18,1,14,19,0,220.461538461539,52,34.6153846153846,1.92307692307692,26.9230769230769,36.5384615384615,0
11,1750,Артистона,Сумароков,2,Tragedy,7,4,5,0.773149622811212,0.585929274559021,0.741577405678599,0.619424623747667,,18,1,19,12,0,243.98,50,36,2,38,24,0
12,1750,Артистона,Сумароков,3,Tragedy,7,4,5,0.648247466484706,0.837411642074585,0.642461821436882,0.628135353326798,,15,1,8,19,0,248.441860465116,43,34.8837209302326,2.32558139534884,18.6046511627907,44.1860465116279,0
13,1750,Артистона,Сумароков,4,Tragedy,7,4,5,0.818398537544104,0.675073623657227,0.746978288347071,0.586297288537026,,13,1,11,8,0,232.121212121212,33,39.3939393939394,3.03030303030303,33.3333333333333,24.2424242424242,0
14,1750,Артистона,Сумароков,5,Tragedy,7,4,5,0.727683547884226,0.714803612232208,0.770693162625486,0.618701463467197,,24,5,22,38,0,154.640449438202,89,26.9662921348315,5.61797752808989,24.7191011235955,42.6966292134831,0
18,1750,Демофонт,Ломоносов,1,Tragedy,5,3,5,0.670730269872225,0.412396639585495,0.729052972793579,0.618890286846594,,13,1,5,22,0,288.219512195122,41,31.7073170731707,2.4390243902439,12.1951219512195,53.6585365853659,0
19,1750,Демофонт,Ломоносов,2,Tragedy,5,3,5,0.683567686378956,0.772962152957916,0.808807558483548,0.627791172514359,,20,2,9,24,0,274.836363636364,55,36.3636363636364,3.63636363636364,16.3636363636364,43.6363636363636,0
20,1750,Демофонт,Ломоносов,3,Tragedy,5,3,5,0.67816535347984,0.821428418159485,0.746945338323712,0.613681185245514,0.902001082897186,21,2,16,15,1,194,55,38.1818181818182,3.63636363636364,29.0909090909091,27.2727272727273,1.81818181818182
21,1750,Демофонт,Ломоносов,4,Tragedy,5,3,5,0.706747369332747,,0.701631608334455,0.606339308950636,,11,0,11,9,0,356.58064516129,31,35.4838709677419,0,35.4838709677419,29.0322580645161,0
22,1750,Демофонт,Ломоносов,5,Tragedy,5,3,5,0.825003962767752,,0.773288726806641,0.595824360847473,,19,0,27,11,0,180.473684210526,57,33.3333333333333,0,47.3684210526316,19.2982456140351,0
24,1750,Семира,Сумароков,1,Tragedy,8,2,5,0.740343037706155,,0.674078963696957,0.599498491538198,,26,0,8,19,0,207.867924528302,53,49.0566037735849,0,15.0943396226415,35.8490566037736,0
